our_number,dedup_group_id,dedup_rank,is_canonical_stage2,is_exact_duplicate_stage2,is_conflict_version_stage2,quality_score,drop_reason
25-11-60108-000053-0,CONFLICT|DOC|00000000|2025-11-25,1,1,0,1,0,kept_canonical
25-11-60108-000068-3,CONFLICT|DOC|00000000|2025-11-25,2,0,0,1,1,dropped_conflict_version
25-11-40641-000173-4,CONFLICT|DOC|0095110|2025-11-26,1,1,0,1,0,kept_canonical
26-11-40641-000008-9,CONFLICT|DOC|0095110|2025-11-26,2,0,0,1,1,dropped_conflict_version
25-11-30841-000078-2,CONFLICT|DOC|010079675|2025-08-26,1,1,0,1,0,kept_canonical
25-11-30841-000077-4,CONFLICT|DOC|010079675|2025-08-26,2,0,0,1,1,dropped_conflict_version
25-11-40842-000109-2,CONFLICT|DOC|010101863|2025-12-20,1,1,0,1,1,kept_canonical
25-11-40842-000112-5,CONFLICT|DOC|010101863|2025-12-20,2,0,0,1,2,dropped_conflict_version
25-11-40874-000064-5,CONFLICT|DOC|010111502|2025-10-23,1,1,0,1,0,kept_canonical
25-11-40874-000065-9,CONFLICT|DOC|010111502|2025-10-23,2,0,0,1,0,dropped_conflict_version
25-11-30830-000058-7,CONFLICT|DOC|010162955|2025-09-17,1,1,0,1,0,kept_canonical
25-11-30830-000060-3,CONFLICT|DOC|010162955|2025-09-17,2,0,0,1,0,dropped_conflict_version
25-11-40858-000038-8,CONFLICT|DOC|0205473|2025-12-23,1,1,0,1,0,kept_canonical
25-11-40858-000041-7,CONFLICT|DOC|0205473|2025-12-23,2,0,0,1,1,dropped_conflict_version
25-11-30601-000010-2,CONFLICT|DOC|0268867|2025-09-17,1,1,0,1,0,kept_canonical
25-11-30601-000018-9,CONFLICT|DOC|0268867|2025-09-17,2,0,0,1,1,dropped_conflict_version
25-11-70175-000002-2,CONFLICT|DOC|0398053|2025-09-30,1,1,0,1,0,kept_canonical
25-11-70175-000008-7,CONFLICT|DOC|0398053|2025-09-30,2,0,0,1,1,dropped_conflict_version
25-11-50265-000213-7,CONFLICT|DOC|0436816|2025-12-20,1,1,0,1,1,kept_canonical
25-11-50265-000230-4,CONFLICT|DOC|0436816|2025-12-20,2,0,0,1,2,dropped_conflict_version
25-11-50292-000039-3,CONFLICT|DOC|0452624|2025-09-16,1,1,0,1,0,kept_canonical
25-11-50292-000040-6,CONFLICT|DOC|0452624|2025-09-16,2,0,0,1,0,dropped_conflict_version
25-11-50265-000215-9,CONFLICT|DOC|0482870|2025-12-20,1,1,0,1,2,kept_canonical
25-11-50265-000232-0,CONFLICT|DOC|0482870|2025-12-20,2,0,0,1,3,dropped_conflict_version
25-11-70242-000163-4,CONFLICT|DOC|05216282|2025-12-22,1,1,0,1,1,kept_canonical
25-11-70242-000166-9,CONFLICT|DOC|05216282|2025-12-22,2,0,0,1,1,dropped_conflict_version
