our_number,child_key_stage2,test_date,days_since_prev_test_stage3,result_norm,class,variant,quality_score,risk_level,iforest_risk_score,iforest_risk_bucket,name_naprav,name_area,human_reason
25-11-40908-000006-5,DOC|0,2025-07-31,,недостаточный,1,60105,0,low,0.0001420324943688,high,Муниципальное бюджетное общеобразовательное учреждение «Школа № 63 с углубленным изучением отдельных предметов»,Муниципальное бюджетное общеобразовательное учреждение Школа № 5,"направившая и тестирующая организации различаются; нет предыдущего теста, аномалия за счёт других признаков профиля"
26-11-60283-000003-9,DOC|00244063,2026-01-30,107.0,достаточный,1,10129,1,medium,0.0002616759609226,high,муниципальное автономное общеобразовательное учреждение средняя общеобразовательная школа № 63 города Тюмени,Муниципальное автономное общеобразовательное учреждение средняя общеобразовательная школа №56 города Тюмени,направившая и тестирующая организации различаются
26-11-40584-000001-5,DOC|0031048,2026-01-30,,достаточный,1,10129,1,medium,0.0006420448552201,high,"Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №1 им. Ижаева А.М. с.Учкекен.""","Муниципальное бюджетное общеобразовательное учреждение ""Средняя общеобразовательная школа №1 им. Ижаева А.М. с.Учкекен.""","нет предыдущего теста, аномалия за счёт других признаков профиля"
26-11-10592-000005-8,DOC|00482590,2026-03-13,,недостаточный,1,30136,1,medium,0.0022513444193534,high,"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ""ЛИЦЕЙ № 94"" ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН","Муниципальное автономное общеобразовательное учреждение ""Школа № 27 с углубленным изучением отдельных предметов"" городского округа город Уфа Республики Башкортостан","направившая и тестирующая организации различаются; нет предыдущего теста, аномалия за счёт других признаков профиля"
26-11-30544-000004-0,DOC|007207,2026-01-22,,достаточный,8,10810,1,medium,0.0004491312413804,high,Муниципальное бюджетное общеобразовательное учреждение «Средняя общеобразовательная школа №15» имени М.М. Сурмача городского округа «город Дербент» Республики Дагестан,Муниципальное бюджетное общеобразовательное учреждение «Гимназия 1» городского округа «город Дербент» Республики Дагестан имени Адиля Ахмедпашаевича Пашаева,"редкая направившая организация (очень мало наблюдений); направившая и тестирующая организации различаются; нет предыдущего теста, аномалия за счёт других признаков профиля"
26-11-70290-000001-6,DOC|010072133,2026-02-10,133.0,достаточный,2,20211,0,low,0.0003829083330896,high,муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №15 имени Пяти Героев Советского Союза,"муниципальное автономное общеобразовательное учреждение г. Хабаровска ""Средняя школа № 35""",редкая направившая организация (очень мало наблюдений); направившая и тестирующая организации различаются
25-11-50141-000008-7,DOC|010079074,2025-09-16,,достаточный,1,80109,0,low,0.0015422281340387,high,Муниципальное общеобразовательное учреждение средняя общеобразовательная школа № 12 с углубленным отдельных предметов,МУНИЦИПАЛЬНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 16,"редкая направившая организация (очень мало наблюдений); направившая и тестирующая организации различаются; нет предыдущего теста, аномалия за счёт других признаков профиля"
25-11-10839-000106-9,DOC|010103411,2025-11-15,,недостаточный,1,110122,1,medium,0.0002887818952876,high,Муниципальное автономное общеобразовательное учреждение средняя общеобразовательная школа № 149,Муниципальное автономное общеобразовательное учреждение – средняя общеобразовательная школа № 137,"направившая и тестирующая организации различаются; нет предыдущего теста, аномалия за счёт других признаков профиля"
25-11-40661-000052-0,DOC|010110831,2025-11-06,,недостаточный,7,110708,0,low,0.0003560195073905,high,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ Г. ВЛАДИМИРА ""ОБРАЗОВАТЕЛЬНЫЙ ЦЕНТР № 6""","Муниципальное автономное общеобразовательное учреждение г.Владимира ""Гимназия № 39""","редкая направившая организация (очень мало наблюдений); направившая и тестирующая организации различаются; нет предыдущего теста, аномалия за счёт других признаков профиля"
25-11-40661-000051-2,DOC|010149794,2025-11-06,,достаточный,7,110708,0,low,0.0003673082583057,high,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ Г. ВЛАДИМИРА ""ОБРАЗОВАТЕЛЬНЫЙ ЦЕНТР № 6""","Муниципальное автономное общеобразовательное учреждение г.Владимира ""Гимназия № 39""","редкая направившая организация (очень мало наблюдений); направившая и тестирующая организации различаются; нет предыдущего теста, аномалия за счёт других признаков профиля"
