feature,coef,abs_coef
num__child_attempt_no,5.560118402074267,5.560118402074267
cat__ogrn_naprav_1026602951231,3.5329866454194505,3.5329866454194505
cat__ogrn_naprav_1037739222840,2.982893616702269,2.982893616702269
cat__ogrn_naprav_1026605612330,2.851711253527087,2.851711253527087
cat__ogrn_naprav_1023801544304,2.8338329729940877,2.8338329729940877
cat__ogrn_naprav_1037700089008,2.8042338650243797,2.8042338650243797
cat__prev_result_norm_недостаточный,-2.7726919251288673,2.7726919251288673
cat__ogrn_naprav_1026605613836,2.7531804733740532,2.7531804733740532
cat__ogrn_area_1116330004185,2.7173160119296917,2.7173160119296917
cat__ogrn_naprav_1116330004185,2.7173160119296917,2.7173160119296917
cat__ogrn_naprav_1222600008510,2.7003233793339496,2.7003233793339496
cat__ogrn_naprav_1022603024696,2.6356139770304634,2.6356139770304634
num__quality_score,2.498889290728416,2.498889290728416
cat__ogrn_area_1023302954454,-2.470626002687803,2.470626002687803
cat__ogrn_area_1025401019456,2.4458383360554268,2.4458383360554268
cat__ogrn_naprav_1230500017440,2.3511809869124094,2.3511809869124094
cat__variant_100607,2.3082609448800575,2.3082609448800575
cat__variant_20134,-2.2749698490034094,2.2749698490034094
cat__ogrn_naprav_1034004405467,2.2462372248295823,2.2462372248295823
cat__variant_110708,2.2001637625326604,2.2001637625326604
cat__variant_30512,-2.2000641266845897,2.2000641266845897
cat__ogrn_naprav_1214800018784,2.198742353617835,2.198742353617835
cat__ogrn_naprav_1026602960185,2.198737746449679,2.198737746449679
cat__ogrn_naprav_1026500531551,2.187026917578544,2.187026917578544
cat__variant_100707,2.1712598530588783,2.1712598530588783
cat__ogrn_naprav_1028601848329,2.1705429700345267,2.1705429700345267
cat__ogrn_naprav_1026602954212,2.163332799850613,2.163332799850613
cat__ogrn_naprav_1026604948325,2.1395714806966772,2.1395714806966772
cat__ogrn_area_1028601846723,2.130123134098859,2.130123134098859
cat__variant_110208,2.0802805734168555,2.0802805734168555
cat__ogrn_area_1230500017440,2.052237750320763,2.052237750320763
cat__prev_result_norm_достаточный,2.029373099749473,2.029373099749473
cat__variant_100507,2.0142401217744688,2.0142401217744688
cat__ogrn_naprav_1028600513644,1.984975538457322,1.984975538457322
cat__ogrn_naprav_1157154026270,1.971769422199045,1.971769422199045
cat__ogrn_area_1030203913035,1.9534957146416347,1.9534957146416347
cat__variant_90406,1.9474360861588713,1.9474360861588713
cat__variant_50104,1.8904334075257814,1.8904334075257814
cat__variant_90113,1.8680783275603179,1.8680783275603179
cat__ogrn_naprav_1116381001659,1.8549612021962723,1.8549612021962723
cat__ogrn_area_1116381001659,1.8549612021962723,1.8549612021962723
cat__ogrn_area_1027739482022,-1.8387598226040924,1.8387598226040924
cat__ogrn_naprav_1037700049012,1.83254195649018,1.83254195649018
cat__variant_80805,1.8156314237089175,1.8156314237089175
cat__ogrn_naprav_1025100875392,1.8131319321314208,1.8131319321314208
cat__ogrn_naprav_1032401070217,1.8125763704398303,1.8125763704398303
cat__variant_120126,-1.8101876064947613,1.8101876064947613
cat__ogrn_area_1026602336848,1.781777659094306,1.781777659094306
cat__ogrn_naprav_1127747118003,1.7659237062551916,1.7659237062551916
cat__variant_121,1.747634547428589,1.747634547428589
cat__ogrn_naprav_1027802496809,1.7274784341524727,1.7274784341524727
cat__ogrn_area_1026500529769,1.7249676491503665,1.7249676491503665
cat__ogrn_naprav_1025900893556,1.701103799335971,1.701103799335971
num__prev_quality_score,-1.687368053583235,1.687368053583235
cat__ogrn_area_1022801226733,1.6841472708983916,1.6841472708983916
cat__ogrn_naprav_1022801226733,1.6841472708983916,1.6841472708983916
cat__ogrn_naprav_1026500527580,1.6772047386728082,1.6772047386728082
cat__ogrn_naprav_1027739618246,1.672730177105484,1.672730177105484
cat__variant_109,1.6713142584930618,1.6713142584930618
cat__ogrn_area_1021300981767,-1.6477070699092102,1.6477070699092102
cat__ogrn_naprav_1034316537177,1.6459060564236392,1.6459060564236392
cat__ogrn_naprav_1025403195432,1.637876736925781,1.637876736925781
cat__variant_УЧ 120125,-1.6367058972899409,1.6367058972899409
cat__ogrn_area_1114345025024,1.6114663029902447,1.6114663029902447
cat__ogrn_naprav_1022401361740,-1.5943517385900179,1.5943517385900179
cat__ogrn_area_1027810347773,1.5930026103759258,1.5930026103759258
cat__ogrn_area_1026605762369,-1.5765424496627511,1.5765424496627511
cat__ogrn_area_1157154029702,1.5758138148519032,1.5758138148519032
cat__ogrn_area_1033303204813,-1.5722427119725657,1.5722427119725657
cat__ogrn_area_1022601956376,1.5720093764798289,1.5720093764798289
