our_number,child_key_stage2,test_date,result_norm,quality_score,risk_level,risk_score_ml,risk_bucket_ml,ogrn_naprav,name_naprav,ogrn_area,name_area
26-11-10859-000008-2,DOC|0466996,2026-03-16,достаточный,2,medium,0.9999999999993363,high,1037101133332,муниципальное бюджетное общеобразовательное учреждение Центр образования № 37 имени В.П. Храмченко,1027100971479,муниципальное бюджетное общеобразовательное учреждение «Центр образования № 19»
26-11-40849-000050-7,DOC|404832737,2026-03-17,достаточный,2,medium,0.9999999999986051,high,1026801158603,"муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа №9""",1036888179393,"муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа № 22 имени Героя Российской Федерации Д.Е. Иванова"""
25-11-70089-000058-3,DOC|0682253,2025-11-25,недостаточный,1,medium,0.9999999999901543,high,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова"""
25-11-70089-000070-0,DOC|0682253,2025-11-28,недостаточный,0,low,0.9999999999812663,high,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова"""
26-11-10859-000003-0,DOC|0466996,2026-02-16,недостаточный,2,medium,0.9999999991255908,high,1037101133332,муниципальное бюджетное общеобразовательное учреждение Центр образования № 37 имени В.П. Храмченко,1027100971479,муниципальное бюджетное общеобразовательное учреждение «Центр образования № 19»
26-11-40849-000038-0,DOC|404832737,2026-02-18,недостаточный,2,medium,0.9999999985249584,high,1026801158603,"муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа №9""",1036888179393,"муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа № 22 имени Героя Российской Федерации Д.Е. Иванова"""
26-11-74682-000013-2,DOC|N16691028,2026-02-13,достаточный,2,medium,0.9999999984480197,high,1023600937029,"Муниципальное бюджетное общеобразовательное учреждение Новоусманского муниципального района Воронежской области ""Новоусманский лицей""",1193668014737,"муниципальное бюджетное общеобразовательное учреждение Новоусманского муниципального района Воронежской области ""Новоусманский образовательный центр"""
26-11-74682-000021-2,DOC|N15667234,2026-02-13,достаточный,2,medium,0.9999999976922354,high,1213600003209,"муниципальное бюджетное общеобразовательное учреждение Новоусманского муниципального района Воронежской области ""Отрадненская гимназия""",1193668014737,"муниципальное бюджетное общеобразовательное учреждение Новоусманского муниципального района Воронежской области ""Новоусманский образовательный центр"""
26-11-40849-000039-5,DOC|406037397,2026-02-18,недостаточный,2,medium,0.9999999969099869,high,1026801158603,"муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа №9""",1036888179393,"муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа № 22 имени Героя Российской Федерации Д.Е. Иванова"""
25-11-70089-000073-7,DOC|0594935,2025-11-26,недостаточный,0,low,0.9999999939428574,high,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова"""
25-11-70089-000057-1,DOC|0594935,2025-11-25,недостаточный,1,medium,0.9999999883428482,high,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова"""
26-11-74682-000008-3,DOC|3161104,2026-01-15,достаточный,2,medium,0.9999999215228447,high,1023600937029,"Муниципальное бюджетное общеобразовательное учреждение Новоусманского муниципального района Воронежской области ""Новоусманский лицей""",1193668014737,"муниципальное бюджетное общеобразовательное учреждение Новоусманского муниципального района Воронежской области ""Новоусманский образовательный центр"""
26-11-10859-000001-7,DOC|0466996,2026-01-19,недостаточный,2,medium,0.9999998133098604,high,1037101133332,муниципальное бюджетное общеобразовательное учреждение Центр образования № 37 имени В.П. Храмченко,1027100971479,муниципальное бюджетное общеобразовательное учреждение «Центр образования № 19»
25-11-70089-000062-0,DOC|0682253,2025-11-24,недостаточный,0,low,0.9999997989767839,high,1222900007483,"МУНИЦИПАЛЬНОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДСКОГО ОКРУГА ""ГОРОД АРХАНГЕЛЬСК"" ""СРЕДНЯЯ ШКОЛА № 7 ИМЕНИ ВЛАДИМИРА НИКОЛАЕВИЧА БУЛАТОВА""",1022900530619,"муниципальное бюджетное общеобразовательное учреждение городского округа ""Город Архангельск"" ""Средняя школа № 28 имени Жореса Иванович Алфёрова"""
26-11-40849-000003-1,DOC|406037397,2026-01-15,недостаточный,2,medium,0.9999997347152862,high,1026801158603,"муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа №9""",1036888179393,"муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа № 22 имени Героя Российской Федерации Д.Е. Иванова"""
26-11-40849-000013-3,DOC|405462488,2026-01-15,достаточный,2,medium,0.999999643445363,high,1036888177732,"муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа № 24""",1036888179393,"муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа № 22 имени Героя Российской Федерации Д.Е. Иванова"""
26-11-40849-000002-8,DOC|404832737,2026-01-15,недостаточный,2,medium,0.9999996072542533,high,1026801158603,"муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа №9""",1036888179393,"муниципальное автономное общеобразовательное учреждение ""Средняя общеобразовательная школа № 22 имени Героя Российской Федерации Д.Е. Иванова"""
