our_number,child_key_stage2,current_test_date,prev_test_date,days_since_prev_test_stage3,violation_severity,result_norm,class,variant,ogrn_naprav,name_naprav,ogrn_area,name_area,quality_score,risk_level
25-11-60296-000023-2,DOC|737473,2025-07-08,2025-07-08,0.0,critical,недостаточный,1,60107,1037851014233,ГОСУДАРСТВЕННОЕ БЮДЖЕТНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ СРЕДНЯЯ ОБЩЕОБРАЗОВАТЕЛЬНАЯ ШКОЛА № 243 АДМИРАЛТЕЙСКОГО РАЙОНА САНКТ-ПЕТЕРБУРГА,1027810347773,Государственное бюджетное общеобразовательное учреждение Гимназия № 272 Адмиралтейского района Санкт-Петербурга,1,medium
25-11-40670-000018-0,DOC|3963806,2025-08-26,2025-08-26,0.0,critical,достаточный,1,80109,1023405169765,"Муниципальное казенное общеобразовательное учреждение ""Заплавинская средняя общеобразовательная школа"" Ленинского муниципального района Волгоградской области",1023405165233,"Муниципальное казенное общеобразовательное учреждение ""Ленинская средняя общеобразовательная школа № 3"" Ленинского муниципального района Волгоградской области",1,medium
25-11-40670-000019-5,DOC|405611425,2025-08-26,2025-08-26,0.0,critical,достаточный,1,80109,1023405169468,"Муниципальное казенное общеобразовательное учреждение ""Ленинская средняя общеобразовательная школа № 2"" Ленинского муниципального района Волгоградской области",1023405165233,"Муниципальное казенное общеобразовательное учреждение ""Ленинская средняя общеобразовательная школа № 3"" Ленинского муниципального района Волгоградской области",1,medium
25-11-40670-000016-7,DOC|4920530,2025-08-26,2025-08-26,0.0,critical,достаточный,1,80109,1023405169468,"Муниципальное казенное общеобразовательное учреждение ""Ленинская средняя общеобразовательная школа № 2"" Ленинского муниципального района Волгоградской области",1023405165233,"Муниципальное казенное общеобразовательное учреждение ""Ленинская средняя общеобразовательная школа № 3"" Ленинского муниципального района Волгоградской области",1,medium
26-11-70127-000021-3,DOC|406066823,2026-01-27,2026-01-27,0.0,critical,достаточный,6,10610,1025400522036,"муниципальное бюджетное общеобразовательное учреждение города Новосибирска ""Средняя общеобразовательная школа № 71""",1035401904383,"муниципальное бюджетное общеобразовательное учреждение города Новосибирска ""Средняя общеобразовательная школа № 167""",1,medium
25-11-50055-000030-9,DOC|0563377,2025-08-26,2025-08-26,0.0,critical,достаточный,2,80205,1031800552299,Муниципальное бюджетное общеобразовательное учреждение Средняя общеобразовательная школа №9,1191832007806,"бюджетное общеобразовательное учреждение Удмуртской Республики ""Столичный лицей имени Е.М. Кунгурцева""",0,low
25-11-10590-000034-5,DOC|0594653,2025-12-12,2025-12-12,0.0,critical,достаточный,1,120125,1030203903619,Муниципальное автономное общеобразовательное учреждение Школа № 34 городского округа город Уфа Республики Башкортостан,1030203913035,МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 22 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН,0,low
25-11-10590-000035-9,DOC|0594662,2025-12-12,2025-12-12,0.0,critical,недостаточный,1,120125,1030203903619,Муниципальное автономное общеобразовательное учреждение Школа № 34 городского округа город Уфа Республики Башкортостан,1030203913035,МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ОБЩЕОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ШКОЛА № 22 ГОРОДСКОГО ОКРУГА ГОРОД УФА РЕСПУБЛИКИ БАШКОРТОСТАН,0,low
26-11-30821-000002-1,DOC|074493,2026-02-03,2026-02-03,0.0,critical,достаточный,3,20311,1027400730554,"Муниципальное общеобразовательное учреждение ""Огнёвская средняя общеобразовательная школа"" Каслинского муниципального района",1027400729179,"Муниципальное общеобразовательное учреждение ""Каслинская средняя общеобразовательная школа №27 имени Героя Советского Союза Востротина Валерия Александровича"" Каслинского муниципального района",0,low
25-11-30797-000012-5,DOC|0594423,2025-08-22,2025-08-21,1.0,critical,недостаточный,10,81005,1026602232876,муниципальное казенное общеобразовательное учреждение «Талицкая средняя общеобразовательная школа № 1»,1026602232876,муниципальное казенное общеобразовательное учреждение «Талицкая средняя общеобразовательная школа № 1»,1,medium
